"id","name","region","group_title","tvg_id","last_status","last_error"
"rugby_pass_tv_720p_uk","Rugby Pass TV (720p)","UK","Undefined","RugbyPassTV.uk@SD","200","Removed as UK/PK non-popular or duplicate channel"
"safeer_tv_1080p_uk","Safeer TV (1080p)","UK","Religious","SafeerTV.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"sanskar_uk_1080p_uk","Sanskar UK (1080p)","UK","Religious","SanskarUK.in@SD","206","Removed as UK/PK non-popular or duplicate channel"
"sheffield_live_tv_360p_not_24_7_uk","Sheffield Live TV (360p) [Not 24/7]","UK","Undefined","SheffieldLiveTV.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"spark_tv_1080p_uk","Spark TV (1080p)","UK","Undefined","SparkTV.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"talksport_1080p_uk","talkSPORT (1080p)","UK","Sports","talkSPORT.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"teletubbies_720p_uk","Teletubbies (720p)","UK","Kids","Teletubbies.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"terra_mater_wild_english_1080p_uk","Terra Mater WILD English (1080p)","UK","Documentary","TerraMaterWILD.de@English","200","Removed as UK/PK non-popular or duplicate channel"
"the_chat_show_channel_1080p_uk","The Chat Show Channel (1080p)","UK","Comedy;Series","TheChatShowChannel.uk@SD","200","Removed as UK/PK non-popular or duplicate channel"
"the_graham_norton_show_1080p_uk","The Graham Norton Show (1080p)","UK","Entertainment","TheGrahamNortonShow.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"tiny_pop_1080p_uk","Tiny Pop (1080p)","UK","Kids","TinyPop.uk@SD","200","Removed as UK/PK non-popular or duplicate channel"
"top_gear_720p_uk","Top Gear (720p)","UK","Auto;Entertainment","TopGear.uk@SD","200","Removed as UK/PK non-popular or duplicate channel"
"totalmusic_1080p_uk","Totalmusic (1080p)","UK","Music","Totalmusic.uk@HD","206","Removed as UK/PK non-popular or duplicate channel"
"totalmusic_80s_720p_uk","Totalmusic 80s (720p)","UK","Music","Totalmusic80s.uk@HD","206","Removed as UK/PK non-popular or duplicate channel"
"totalmusic_2000s_720p_uk","Totalmusic 2000s (720p)","UK","Music","Totalmusic2000s.uk@HD","206","Removed as UK/PK non-popular or duplicate channel"
"totalmusic_concerts_720p_uk","Totalmusic Concerts (720p)","UK","Music","TotalmusicConcerts.uk@HD","206","Removed as UK/PK non-popular or duplicate channel"
"totalmusic_dance_720p_uk","Totalmusic Dance (720p)","UK","Music","TotalmusicDance.uk@HD","206","Removed as UK/PK non-popular or duplicate channel"
"like_gecko_chrome_145_0_0_0_safari_537_36_edg_145_0_0_0_group_title_music_trace_latina_720p_uk","like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Music"",TRACE Latina (720p)","UK","Music","TraceLatina.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"trace_uk_1080p_uk","Trace UK (1080p)","UK","Music","TraceUK.uk@HD","206","Removed as UK/PK non-popular or duplicate channel"
"trailers_1080p_uk","Trailers (1080p)","UK","News","Trailers.es@UK","200","Removed as UK/PK non-popular or duplicate channel"
"true_crime_uk_1080p_uk","True Crime UK (1080p)","UK","Series","TrueCrime.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"vantage_music_uk_1080p_geo_blocked_uk","Vantage Music UK (1080p) [Geo-blocked]","UK","Music","VantageMusic.ee@UK","206","Removed as UK/PK non-popular or duplicate channel"
"voxafrica_720p_uk","VoxAfrica (720p)","UK","Undefined","VoxAfrica.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"waterbear_1080p_uk","WaterBear (1080p)","UK","Documentary;Outdoor","WaterBear.ch@SD","200","Removed as UK/PK non-popular or duplicate channel"
"wonder_1080p_uk","Wonder (1080p)","UK","Science","Wonder.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"xite_hits_uk_1080p_uk","XITE Hits UK (1080p)","UK","Music","XITEHits.nl@UK","200","Removed as UK/PK non-popular or duplicate channel"
"yaaas_720p_geo_blocked_uk","YAAAS! (720p) [Geo-blocked]","UK","Kids","YAAAS.uk@HD","206","Removed as UK/PK non-popular or duplicate channel"
"zee_one_1080p_uk","Zee One (1080p)","UK","Entertainment","ZeeOne.uk@UK","200","Removed as UK/PK non-popular or duplicate channel"
"aurlife_hd_614p_pk","aurLife HD (614p)","PK","General","aurLifeHD.pk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"fazal_tv_1080p_pk","Fazal TV (1080p)","PK","Religious","FazalTV.pk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"filmax_576p_pk","Filmax (576p)","PK","Movies","Filmax.pk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"god_stands_tv_pk","God Stands TV","PK","Religious","GodStandsTV.pk@Main","206","Removed as UK/PK non-popular or duplicate channel"
"god_stands_tv_english_pk","God Stands TV English","PK","Religious","GodStandsTV.pk@English","206","Removed as UK/PK non-popular or duplicate channel"
"god_stands_tv_urdu_pk","God Stands TV Urdu","PK","Religious","GodStandsTV.pk@Urdu","206","Removed as UK/PK non-popular or duplicate channel"
"grace_network_720p_pk","Grace Network (720p)","PK","Religious","GraceNetwork.pk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"isaac_tv_720p_pk","Isaac TV (720p)","PK","Religious","IsaacTV.pk@SD","206","Removed as UK/PK non-popular or duplicate channel"
