"name","url","ok","status","error"
"Bounce XL","https://dbrb49pjoymg4.cloudfront.net/10001/9999613/hls/playlist.m3u8?includeAssetTags=true&ads.xumo_channelId=9999613&ads._fw_ifa_type=[IFA_TYPE]&ads._fw_did=[IFA]&ads.amznappId=[AMZN_APP_ID]&ads.lat=[LAT]&ads.lon=[LON]&ads.os=[OS]&ads.osv=[OS_VERSION]&ads.asnw=&ads.caid=BounceXL&ads.csid=xumo_[PLATFORM]_BounceXL_ssai&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads._fw_coppa=0&ads.genre=Comedy,Entertainment,GV&ads._fw_content_category=[IAB_content_category]&ads._fw_content_language=[content_language]&ads._fw_content_genre=Comedy,Entertainment,GV&ads._fw_content_rating=[content_rating]&ads.xumo_contentId=3342&ads.xumo_contentName=BounceXL&ads.xumo_providerId=3342&ads.xumo_providerName=BounceXL&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads.channelId=9999613&ads.xumo_platform=[PLATFORM]&ads.site_id=[publica_site_id]&ads.appName=xumo&ads.appVersion=[APP_VERSION]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]","True","200",""
"Bravo Vault","https://d4whmvwm0rdvi.cloudfront.net/10007/99951242/hls/master.m3u8?ads.xumo_channelId=99951242&ads.asnw=169843&ads.afid=380682251&ads.sfid=19194677&ads.csid=xumo_[PLATFORM]_NBCUBravoVault_ssai_cro&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads._fw_coppa=0&ads._fw_did=[IFA]&ads._fw_vcid2=512116:[IFA]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]&ads._fw_content_category=[IAB_content_category]&ads._fw_content_genre=Reality,Drama,GD,Entertainment,GV,Reality-TV,Reality+Shows&ads._fw_content_language=[content_language]&ads._fw_content_rating=[content_rating]&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads._fw_deviceType=3-Connected_TV&ads.appVersion=[APP_VERSION]&ads.appName=XumoPlay&ads.xumo_contentId=3934&ads.xumo_contentName=NBCUBravoVault&ads.xumo_providerId=3934&ads.xumo_providerName=NBCUBravoVault&ads.channelId=99951242&ads._fw_ifa_type=[IFA_TYPE]","True","200",""
"Buzzr (1080p)","https://buzzrota-ono.amagi.tv/playlist.m3u8","True","206",""
"CBS","https://stream.ads.ottera.tv/playlist.m3u8?network_id=5529","True","200",""
"CBS News","https://cbsnews.akamaized.net/hls/live/2020607/cbsnlineup_8/master.m3u8","True","200",""
"Charge! (1080p)","https://fast-channels.sinclairstoryline.com/CHARGE/index.m3u8","True","206",""
"Cheddar News (1080p)","https://wurlcheddar.global.transmit.live/hls/689ceac9301c34d3919676f3/v1/Cheddar/samsung_us/latest/main/hls/playlist.m3u8","True","200",""
"CNN International","https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8","True","200",""
"Cold Case Files by A&E","https://jmp2.uk/plu-5c37d6712de254456f7ec340.m3u8","True","200",""
"Comedy Central Pluto TV","https://jmp2.uk/plu-5ca671f215a62078d2ec0abf.m3u8","True","200",""
"Comet (1080p)","https://fast-channels.sinclairstoryline.com/COMET/index.m3u8","True","206",""
