"id","popular_match","name","region","group_title","tvg_id","stream_url","last_status","score"
"bet_classics_us","BET","BET Classics","US","Entertainment","BETClassicsPlutoTV.us@France","https://jmp2.uk/plu-60f85644a9493e0007a1f035.m3u8","200","21"
"bet_pluto_tv_us_3","BET","BET Pluto TV","US","Entertainment","BETPlutoTV.us@US","https://jmp2.uk/plu-5ca670f6593a5d78f0e85aed.m3u8","200","21"
"bet_pluto_tv_us","BET","BET Pluto TV","US","Entertainment","BETPlutoTV.us@Brazil","https://jmp2.uk/plu-5ff768b6a4c8b80008498610.m3u8","200","21"
"bloomberg_tv_us_2","Bloomberg TV","Bloomberg TV+","US","Business","BloombergTVPlus.us","https://bloomberg.com/media-manifest/streams/phoenix-us.m3u8","206","22"
"bounce_xl_1080p_us","Bounce","Bounce XL (1080p)","US","Entertainment","BounceXL.us@SD","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01438-ewscrippscompan-bouncexl-tablo/playlist.m3u8","200","1"
"cbs_sports_hq_us","CBS","CBS Sports HQ","US","General","XUMO_99991645","https://dai.google.com/linear/hls/event/9Lq0ERvoSR-z9AwvFS-xYA/master.m3u8?imafw_csid=[CBSSPORTS_CSID];imafw__fw_h_referer=com.xumo.app&imafw__fw_did=dpid:[deviceID]&imafw__fw_is_lat=[LIMITED_AD_TRACKING]&imafw__fw_vcid2=[PPID]&imafw__fw_app_bundle=[app_bundle]&imafw_is_lat=[LIMITED_AD_TRACKING]","200","20"
"cbs_news_24_7_us","CBS News","CBS News 24/7","US","News","XUMO_99991158","https://dai.google.com/linear/hls/event/Sid4xiTQTkCT1SLu6rjUSQ/master.m3u8?imafw_csid=vcbs_xumo_ctv_allos_live_cbsnews;imafw__fw_h_referer=com.xumo.app&imafw__fw_did=dpid:[deviceID]&imafw__fw_is_lat=[LIMITED_AD_TRACKING]&imafw__fw_vcid2=[PPID]&imafw__fw_app_bundle=[app_bundle]&imafw_is_lat=[LIMITED_AD_TRACKING]","200","20"
"cbs_news_24_7_720p_us","CBS News","CBS News 24/7 (720p)","US","News","CBSNews247.us@SD","https://jmp2.uk/plu-6350fdd266e9ea0007bedec5.m3u8","200","-2"
"cbs_news_baltimore_720p_us","CBS News","CBS News Baltimore (720p)","US","News","CBSNewsBaltimore.us@SD","https://lineup.cbsivideo.com/playout/8877a7d5-b094-4ac8-bc72-75a5fed68e5b/index.m3u8","206","3"
"cbs_news_bay_area_us","CBS News","CBS News Bay Area","US","XUMO🇺🇸: Local News","XUMO_99991655","https://dai.google.com/linear/hls/event/laLJwH1nS2KQAUQTF8z1Cg/master.m3u8?imafw_csid=[CBSN_CSID];imafw__fw_h_referer=com.xumo.app&imafw__fw_did=dpid:[deviceID]&imafw__fw_is_lat=[LIMITED_AD_TRACKING]&imafw__fw_vcid2=[PPID]&imafw__fw_app_bundle=[app_bundle]&imafw_is_lat=[LIMITED_AD_TRACKING]","200","16"
"cbs_news_bay_area_720p_us","CBS News","CBS News Bay Area (720p)","US","News","CBSNewsBayArea.us@SD","https://cbsn-sf.cbsnstream.cbsnews.com/out/v1/dac63c1abb3f4a2dac9f508f44bb072a/master.m3u8","200","-6"
"cbs_news_boston_us","CBS News","CBS News Boston","US","XUMO🇺🇸: Local News","XUMO_99991656","https://dai.google.com/linear/hls/event/dHA193vxQ_WqZNVoC-W5MA/master.m3u8?imafw_csid=[CBSN_CSID];imafw__fw_h_referer=com.xumo.app&imafw__fw_did=dpid:[deviceID]&imafw__fw_is_lat=[LIMITED_AD_TRACKING]&imafw__fw_vcid2=[PPID]&imafw__fw_app_bundle=[app_bundle]&imafw_is_lat=[LIMITED_AD_TRACKING]","200","18"
"cbs_news_boston_720p_us","CBS News","CBS News Boston (720p)","US","News","CBSNewsBoston.us@SD","https://cbsn-bos.cbsnstream.cbsnews.com/out/v1/589d66ec6eb8434c96c28de0370d1326/master.m3u8","200","-4"
"cbs_news_chicago_720p_us","CBS News","CBS News Chicago (720p)","US","News","CBSNewsChicago.us@SD","https://cbsn-chi.cbsnstream.cbsnews.com/out/v1/b2fc0d5715d54908adf07f97d2616646/master.m3u8","200","-5"
"cbs_news_colorado_720p_us","CBS News","CBS News Colorado (720p)","US","News","CBSNewsColorado.us@SD","https://cbsn-den.cbsnstream.cbsnews.com/out/v1/2e49baf2906244ecb01b07d9885fbe7a/master.m3u8","200","-6"
"cbs_news_detroit_720p_us","CBS News","CBS News Detroit (720p)","US","News","CBSNewsDetroit.us@SD","https://cbsn-det.cbsnstream.cbsnews.com/out/v1/169f5c001bc74fa7a179b19c20fea069/master.m3u8","200","-5"
