"id","region","name","group_title","tvg_id","last_status","stream_url"
"abc_news_live_7_720p_us","US","ABC News Live 7 (720p)","News","ABCNewsLive7.us@SD","200","https://abcnews-streams.akamaized.net/hls/live/2023566/abcnewshudson7/master_4000.m3u8"
"abc_news_live_8_720p_us","US","ABC News Live 8 (720p)","News","ABCNewsLive8.us@SD","200","https://abcnews-streams.akamaized.net/hls/live/2023567/abcnewshudson8/master_4000.m3u8"
"abc_news_live_9_720p_us","US","ABC News Live 9 (720p)","News","ABCNewsLive9.us@SD","200","https://abcnews-streams.akamaized.net/hls/live/2023568/abcnewshudson9/master_4000.m3u8"
"bbc_news_us","US","BBC News","News","XUMO_99951298","200","https://d3pxo1qcgzxtxs.cloudfront.net/10005/99951298/hls/playlist.m3u8?ads.xumo_channelId=99951298&ads.xumo_streamId=99951298&ads.channelId=99951298&ads.channelName=amcbbcnews_us&ads.csid=xumo_[PLATFORM]_AMCBBCNews_ssai&ads._fw_coppa=0&ads.xumo_contentId=4023&ads.xumo_contentName=AMCBBCNews&ads.xumo_providerId=4023&ads.xumo_providerName=AMCBBCNews&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads._fw_did=[IFA_TYPE]:[IFA]&ads._fw_content_category=[IAB_content_category]&ads._fw_content_language=[content_language]&ads._fw_content_genre=News,N,DN,Local,LocalNews,News-Local&ads._fw_content_rating=[content_rating]&ads._fw_deviceType=3-Connected_TV&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads.xumo_platform=[PLATFORM]&ads.appVersion=[APP_VERSION]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]"
"bloomberg_tv_us_2","US","Bloomberg TV+","Business","BloombergTVPlus.us","206","https://bloomberg.com/media-manifest/streams/phoenix-us.m3u8"
"buzzr_us","US","BUZZR","XUMO🇺🇸: Game Shows","XUMO_99951124","200","https://dbrb49pjoymg4.cloudfront.net/10001/99951124/hls/playlist.m3u8?ads.xumo_channelId=99951124&ads._fw_ifa_type=[IFA_TYPE]&ads._fw_did=[IFA]&ads.amznappId=[AMZN_APP_ID]&ads.lat=[LAT]&ads.lon=[LON]&ads.os=[OS]&ads.osv=[OS_VERSION]&ads.asnw=&ads.caid=FreemantleBuzzr&ads.csid=xumo_[PLATFORM]_FreemantleBuzzr_ssai&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads._fw_coppa=0&ads.genre=GameShow,Game,Quiz,QG,QP,Entertainment,Game+Show&ads._fw_content_category=[IAB_content_category]&ads._fw_content_language=[content_language]&ads._fw_content_genre=GameShow,Game,Quiz,QG,QP,Entertainment,Game+Show&ads._fw_content_rating=[content_rating]&ads.xumo_contentId=3545&ads.xumo_contentName=FreemantleBuzzr&ads.xumo_providerId=3545&ads.xumo_providerName=FreemantleBuzzr&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads.channelId=99951124&ads.xumo_platform=[PLATFORM]&ads.site_id=[publica_site_id]&ads.appName=xumo&ads.appVersion=[APP_VERSION]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]"
"buzzr_1080p_us","US","Buzzr (1080p)","Entertainment","Buzzr.us@SD","206","https://buzzrota-ono.amagi.tv/playlist.m3u8"
"buzzr_us_us","US","Buzzr (US)","General","","200","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00145-fremantlemedian-buzzr-lgus/playlist.m3u8"
"cbs_news_24_7_us","US","CBS News 24/7","News","XUMO_99991158","200","https://dai.google.com/linear/hls/event/Sid4xiTQTkCT1SLu6rjUSQ/master.m3u8?imafw_csid=vcbs_xumo_ctv_allos_live_cbsnews;imafw__fw_h_referer=com.xumo.app&imafw__fw_did=dpid:[deviceID]&imafw__fw_is_lat=[LIMITED_AD_TRACKING]&imafw__fw_vcid2=[PPID]&imafw__fw_app_bundle=[app_bundle]&imafw_is_lat=[LIMITED_AD_TRACKING]"
"cbs_news_24_7_720p_us","US","CBS News 24/7 (720p)","News","CBSNews247.us@SD","200","https://jmp2.uk/plu-6350fdd266e9ea0007bedec5.m3u8"
