"id","name","region","group_title","tvg_id","enabled","last_checked_ok","last_status","last_error"
"midsomer_murders_us","Midsomer Murders","US","News","XUMO_99991698","false","true","200",""
"court_tv_legendary_trials_us","Court TV Legendary Trials","US","News","XUMO_99951233","false","true","200",""
"britbox_mysteries_us","BritBox Mysteries","US","News","XUMO_99951213","false","true","200",""
"tv_one_crime_justice_fast_channel_us","TV One CRIME & JUSTICE FAST CHANNEL","US","News","XUMO_99951299","false","true","200",""
"world_s_wildest_police_videos_us","World's Wildest Police Videos","US","News","XUMO_99951315","false","true","200",""
"lawless_by_lionsgate_us","Lawless by Lionsgate","US","News","XUMO_99951410","false","true","200",""
"the_f_b_i_us","The F.B.I.","US","News","XUMO_99951395","false","true","200",""
"live_pd_presents_us","Live PD Presents","US","News","XUMO_99951489","false","true","200",""
"the_first_48_by_a_e_us","The First 48 by A&E","US","News","XUMO_99951490","false","true","200",""
"20_20_us","20/20","US","News","XUMO_99951518","false","true","200",""
"baywatch_us","Baywatch","US","General","XUMO_99951133","false","true","200",""
"universal_action_us","Universal Action","US","General","XUMO_99951254","false","true","200",""
"electricnow_us","ElectricNOW","US","General","XUMO_99991378","false","true","200",""
"stories_by_amc_us","Stories by AMC","US","General","XUMO_99991622","false","true","200",""
"nash_bridges_channel_us","Nash Bridges Channel","US","General","XUMO_99951330","false","true","200",""
"designated_survivor_us","Designated Survivor","US","General","XUMO_99951346","false","true","200",""
"xena_warrior_princess_us","Xena Warrior Princess","US","General","XUMO_99951412","false","true","200",""
"demand_africa_us","Demand Africa","US","General","XUMO_99991381","false","true","200",""
"50_cent_action_us","50 Cent Action","US","General","XUMO_99951439","false","true","200",""
"bizaar_us","Bizaar","US","General","XUMO_99951435","false","true","200",""
"goldentv_us","GoldenTV","US","General","XUMO_99951493","false","true","200",""
"kocowa_k_drama_us","KOCOWA K-Drama","US","General","XUMO_99991348","false","true","200",""
"new_korean_movies_series_us","NEW Korean MOVIES & SERIES","US","General","XUMO_99991386","false","true","200",""
"acorn_tv_mysteries_us","Acorn TV Mysteries","US","General","XUMO_99951478","false","true","200",""
"murdoch_mysteries_us","Murdoch Mysteries","US","General","XUMO_99951452","false","true","200",""
"heartland_us","Heartland","US","General","XUMO_99951494","false","true","200",""
"bbc_drama_us","BBC Drama","US","General","XUMO_99951497","false","true","200",""
"xumo_free_comedy_tv_us","Xumo Free Comedy TV","US","General","XUMO_99991105","false","true","200",""
"snl_vault_us","SNL Vault","US","General","XUMO_99951236","false","true","200",""
"nbc_comedy_vault_us","NBC Comedy Vault","US","General","XUMO_99951244","false","true","200",""
"saved_by_the_bell_us","Saved by the Bell","US","General","XUMO_99951247","false","true","200",""
"are_we_there_yet_us","Are We There Yet?","US","General","XUMO_99991667","false","true","200",""
"lol_network_us","LOL Network","US","General","XUMO_99991123","false","true","200",""
"failarmy_us","FailArmy","US","General","XUMO_99991153","false","true","200",""
"mystery_science_theater_3000_mst3k_us","Mystery Science Theater 3000 (MST3K)","US","General","XUMO_99991616","false","true","200",""
