"source","name","url","extinf"
"https://raw.githubusercontent.com/iptv-org/iptv/master/streams/us_tvpass.m3u","E! East (1080p) [Not 24/7]","https://tvpass.org/live/EEast/hd","#EXTINF:-1 tvg-id=""E.us@East"",E! East (1080p) [Not 24/7]"
"https://raw.githubusercontent.com/iptv-org/iptv/master/streams/us_tvpass.m3u","E! East (360p) [Not 24/7]","https://tvpass.org/live/EEast/sd","#EXTINF:-1 tvg-id=""E.us@East"",E! East (360p) [Not 24/7]"
"https://raw.githubusercontent.com/iptv-org/iptv/master/streams/us_xumo.m3u","E! Keeping Up (1080p)","https://xumo-xumoent-vc-117-a3ga4.fast.nbcuni.com/live/master.m3u8","#EXTINF:-1 tvg-id=""EKeepingUp.us@SD"",E! Keeping Up (1080p)"
"https://raw.githubusercontent.com/iptv-org/iptv/master/streams/us_tvpass.m3u","FX East (360p) [Not 24/7]","https://tvpass.org/live/FXEast/sd","#EXTINF:-1 tvg-id=""FX.us@East"",FX East (360p) [Not 24/7]"
"https://raw.githubusercontent.com/iptv-org/iptv/master/streams/us_tvpass.m3u","FX East (720p) [Not 24/7]","https://tvpass.org/live/FXEast/hd","#EXTINF:-1 tvg-id=""FX.us@East"",FX East (720p) [Not 24/7]"
"https://raw.githubusercontent.com/iptv-org/iptv/master/streams/us_tvpass.m3u","FX Movie Channel (360p) [Not 24/7]","https://tvpass.org/live/FXMovieChannel/sd","#EXTINF:-1 tvg-id=""FXMovieChannel.us@SD"",FX Movie Channel (360p) [Not 24/7]"
"https://raw.githubusercontent.com/iptv-org/iptv/master/streams/us_tvpass.m3u","FX Movie Channel (720p) [Not 24/7]","https://tvpass.org/live/FXMovieChannel/hd","#EXTINF:-1 tvg-id=""FXMovieChannel.us@SD"",FX Movie Channel (720p) [Not 24/7]"
"https://raw.githubusercontent.com/iptv-org/iptv/master/streams/us_tvpass.m3u","FXX East (360p) [Not 24/7]","https://tvpass.org/live/FXXEast/sd","#EXTINF:-1 tvg-id=""FXX.us@East"",FXX East (360p) [Not 24/7]"
"https://raw.githubusercontent.com/iptv-org/iptv/master/streams/us_tvpass.m3u","FXX East (720p) [Not 24/7]","https://tvpass.org/live/FXXEast/hd","#EXTINF:-1 tvg-id=""FXX.us@East"",FXX East (720p) [Not 24/7]"
"https://raw.githubusercontent.com/iptv-org/iptv/master/streams/us_tvpass.m3u","Hallmark Drama (360p) [Not 24/7]","https://tvpass.org/live/HallmarkDrama/sd","#EXTINF:-1 tvg-id=""HallmarkDrama.us@SD"",Hallmark Drama (360p) [Not 24/7]"
"https://raw.githubusercontent.com/iptv-org/iptv/master/streams/us_tvpass.m3u","Hallmark Drama (720p) [Not 24/7]","https://tvpass.org/live/HallmarkDrama/hd","#EXTINF:-1 tvg-id=""HallmarkDrama.us@SD"",Hallmark Drama (720p) [Not 24/7]"
